"","total.time","total.pct","mem.total","self.time","self.pct"
"""mbkmeans::mini_batch""",97.62,99.96,25918.2,5.3,5.43
"""doTryCatch""",92.32,94.53,25799.7,0.04,0.04
"""tryCatchList""",92.32,94.53,25799.7,0.04,0.04
"""tryCatch""",92.32,94.53,25799.7,0,0
"""tryCatchOne""",92.32,94.53,25799.7,0,0
"""<Anonymous>""",92.3,94.51,25799.1,0,0
"""evalq""",92.3,94.51,25799.1,0,0
"""callNextMethod""",90.74,92.91,25680,0.08,0.08
"""standardGeneric""",90.72,92.89,25669.2,0.52,0.53
"""extract_array""",90.56,92.73,25647.7,0.06,0.06
"""as.matrix""",90.56,92.73,25659,0,0
""".from_Array_to_matrix""",90.54,92.71,25657.3,0,0
"""as.matrix.Array""",90.54,92.71,25657.3,0,0
""".local""",90.48,92.65,25647,0,0
"""as.array""",90.48,92.65,25647,0,0
""".nextMethod""",90.44,92.61,25632.9,0,0
"""h5mread""",42.98,44.01,11385.7,0,0
"""h5read2""",42.98,44.01,11385.7,0,0
"""aperm2""",40.38,41.35,9691.8,0.02,0.02
"""aperm.default""",39.82,40.77,9691.7,39.82,40.77
"""base::aperm""",39.82,40.77,9691.7,0,0
""".Call""",36.92,37.8,6303,36.92,37.8
"""do.call""",10.82,11.08,9630.9,10.8,11.06
"""subset_by_Nindex""",6.94,7.11,4548.2,0,0
"""DelayedArray:::subset_by_Nindex""",6.04,6.18,5082.7,0,0
""".make_subscripts_from_Nindex""",2.16,2.21,0.1,0,0
"""stopifnot""",2.14,2.19,0,0.04,0.04
"""...length""",2.08,2.13,0,2.08,2.13
"""[""",0.94,0.96,70.6,0,0
"""stash_DelayedSubset""",0.9,0.92,60.5,0,0
"""new_DelayedSubset""",0.78,0.8,43.9,0,0
"""FUN""",0.74,0.76,33.5,0.02,0.02
"""lapply""",0.72,0.74,33.5,0,0
"""normalizeNindex""",0.72,0.74,33.5,0,0
"""normalizeSingleBracketSubscript""",0.72,0.74,33.5,0,0
"""normalizeSingleBracketSubscript2""",0.72,0.74,33.5,0,0
"""NSBS""",0.72,0.74,33.5,0,0
"""which""",0.7,0.72,14.6,0.6,0.61
"""initialize""",0.58,0.59,82.3,0.06,0.06
"""rep.int""",0.58,0.59,3.1,0.02,0.02
"""dims""",0.58,0.59,46.2,0,0
"""new""",0.58,0.59,82.3,0,0
"""validObject""",0.48,0.49,63.5,0.06,0.06
"""dim""",0.34,0.35,47.1,0.02,0.02
"""new2""",0.32,0.33,55,0,0
"""RegularArrayGrid""",0.24,0.25,19.1,0.02,0.02
"""anyStrings""",0.24,0.25,34.6,0,0
"""colGrid""",0.24,0.25,23.3,0,0
"""isTRUE""",0.24,0.25,34.6,0,0
"""method""",0.24,0.25,34.6,0,0
"""validityMethod""",0.24,0.25,34.6,0,0
"""rowGrid""",0.22,0.23,13.8,0,0
"""methods:::loadMethod""",0.2,0.2,30.3,0.02,0.02
"""type""",0.2,0.2,9.5,0,0
"""DelayedArray""",0.18,0.18,30.3,0.02,0.02
""".get_auto_nrow""",0.16,0.16,8.6,0,0
""".normarg_block.length""",0.16,0.16,8.6,0,0
"""extract_empty_array""",0.16,0.16,8.2,0,0
"""getAutoBlockLength""",0.16,0.16,8.6,0,0
"""isSingleString""",0.16,0.16,8.6,0,0
"""new_DelayedArray""",0.16,0.16,27.7,0,0
"""as""",0.14,0.14,21.2,0,0
"""try""",0.12,0.12,12.8,0.02,0.02
"""assign""",0.1,0.1,8.8,0.1,0.1
"""getClassDef""",0.1,0.1,10.5,0.08,0.08
"""is""",0.1,0.1,21.7,0.06,0.06
""".findInheritedMethods""",0.1,0.1,15.4,0,0
""":::""",0.08,0.08,7.7,0.02,0.02
"""stash_DelayedAperm""",0.08,0.08,10.9,0.02,0.02
"""aperm""",0.08,0.08,10.9,0,0
"""cbind""",0.08,0.08,6.4,0,0
"""NativeNSBS""",0.08,0.08,16.3,0,0
"""t""",0.08,0.08,10.9,0,0
"""list""",0.06,0.06,0,0.06,0.06
"""paste""",0.06,0.06,10.2,0.06,0.06
"""get""",0.06,0.06,0.9,0.02,0.02
"""sort""",0.06,0.06,3.1,0.02,0.02
""".findNextFromTable""",0.06,0.06,9.3,0,0
"""addNextMethod""",0.06,0.06,9.3,0,0
"""asMethod""",0.06,0.06,9.5,0,0
"""expand_Nindex_RangeNSBS""",0.06,0.06,0,0,0
""".get_pkgversion_from_internals_version""",0.04,0.04,1,0.04,0.04
""".identC""",0.04,0.04,10.3,0.04,0.04
"""anyNA""",0.04,0.04,4.1,0.04,0.04
"""asNamespace""",0.04,0.04,0.5,0.04,0.04
"""eval""",0.04,0.04,3.5,0.04,0.04
"""lazyLoadDBfetch""",0.04,0.04,9.1,0.04,0.04
"""::""",0.04,0.04,8.6,0.02,0.02
"""exists""",0.04,0.04,7.2,0.02,0.02
"""mcols""",0.04,0.04,2.6,0.02,0.02
"""vapply""",0.04,0.04,0,0.02,0.02
""".check_DelayedArray_internals""",0.04,0.04,1,0,0
""".findMethodInTable""",0.04,0.04,9.3,0,0
""".get_DelayedArray_pkgversion""",0.04,0.04,1,0,0
""".inheritedArgsExpression""",0.04,0.04,5.2,0,0
""".quickCoerceSelect""",0.04,0.04,9.3,0,0
""".valid.Vector.length""",0.04,0.04,6.1,0,0
""".valid.Vector.parallelSlots""",0.04,0.04,2.8,0,0
"""as<-""",0.04,0.04,9.1,0,0
"""cmpfun""",0.04,0.04,9.1,0,0
"""compiler:::tryCmpfun""",0.04,0.04,9.1,0,0
"""dimnames""",0.04,0.04,0.4,0,0
"""extends""",0.04,0.04,5.2,0,0
"""genCode""",0.04,0.04,9.1,0,0
"""get_Nindex_lengths""",0.04,0.04,1.5,0,0
"""HDF5Array""",0.04,0.04,3.9,0,0
"""methods:::.selectDotsMethod""",0.04,0.04,3,0,0
"""outerLabels""",0.04,0.04,10.1,0,0
"""set_dimnames""",0.04,0.04,0.4,0,0
""".getClassesFromCache""",0.02,0.02,4.5,0.02,0.02
""".getGeneric""",0.02,0.02,0.6,0.02,0.02
"""anyDuplicated""",0.02,0.02,1.1,0.02,0.02
"""array""",0.02,0.02,1.7,0.02,0.02
"""as.function""",0.02,0.02,3.9,0.02,0.02
"""base::which""",0.02,0.02,4.2,0.02,0.02
"""c""",0.02,0.02,0,0.02,0.02
"""elementMetadata""",0.02,0.02,1,0.02,0.02
"""getNamespace""",0.02,0.02,4,0.02,0.02
"""is.array""",0.02,0.02,0.2,0.02,0.02
"""isBaseNamespace""",0.02,0.02,4.4,0.02,0.02
"""match.call""",0.02,0.02,5.1,0.02,0.02
"""names""",0.02,0.02,4.5,0.02,0.02
"""setPackageSlot""",0.02,0.02,5,0.02,0.02
"""slot""",0.02,0.02,0.9,0.02,0.02
"""sort.int""",0.02,0.02,1.2,0.02,0.02
""".asCoerceMethod""",0.02,0.02,5.9,0,0
""".classEnv""",0.02,0.02,4,0,0
""".fillSignatures""",0.02,0.02,0.1,0,0
""".getMethodsTable""",0.02,0.02,1.1,0,0
""".makeAsMethod""",0.02,0.02,3.9,0,0
""".requirePackage""",0.02,0.02,4,0,0
""".valid.Vector.mcols""",0.02,0.02,1,0,0
"""as.matrix.default""",0.02,0.02,1.7,0,0
"""body<-""",0.02,0.02,3.9,0,0
"""cmp""",0.02,0.02,6.1,0,0
"""cmpCall""",0.02,0.02,6.1,0,0
"""get_spacings_along""",0.02,0.02,1,0,0
"""getClass""",0.02,0.02,0.4,0,0
"""getExportedValue""",0.02,0.02,4.4,0,0
"""getGeneric""",0.02,0.02,0.6,0,0
"""getInlineHandler""",0.02,0.02,6.1,0,0
"""h5checktype""",0.02,0.02,0,0,0
"""h5checktypeAndPLC""",0.02,0.02,0,0,0
"""h5chunkdim""",0.02,0.02,0,0,0
"""H5Iis_valid""",0.02,0.02,0,0,0
"""H5Pget_class""",0.02,0.02,0,0,0
"""H5Pget_layout""",0.02,0.02,0,0,0
"""HDF5ArraySeed""",0.02,0.02,0,0,0
"""length""",0.02,0.02,5,0,0
"""new_DelayedAperm""",0.02,0.02,0.6,0,0
"""sort.default""",0.02,0.02,1.2,0,0
"""tryInline""",0.02,0.02,6.1,0,0
"""vector""",0.02,0.02,5.2,0,0
